USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root     12471  0.0  0.0      0     0 ?        S    Feb28   0:01 [kworker/2:2]
root     18103  0.0  0.0      0     0 ?        S    12:18   0:00 [kworker/1:1]
root     18311  0.0  0.5  12264  5260 ?        Ss   13:24   0:00 sshd: pi [priv]     
pi       18319  0.0  0.3  12400  3216 ?        S    13:24   0:00 sshd: pi@pts/0      
pi       18321  0.0  0.4   6556  4716 pts/0    Ss+  13:24   0:00 -bash
root     18365  0.0  0.5  12264  5320 ?        Ss   13:25   0:00 sshd: pi [priv]     
pi       18372  0.0  0.3  12400  3104 ?        S    13:25   0:00 sshd: pi@pts/1      
pi       18374  0.0  0.4   6560  4708 pts/1    Ss   13:25   0:00 -bash
root     18482  0.0  0.0      0     0 ?        S    13:31   0:02 [kworker/u8:3]
root     18486  0.0  0.0      0     0 ?        S    13:31   0:00 [kworker/0:2]
root     18597  0.0  0.0      0     0 ?        S    13:41   0:00 [kworker/3:2]
root     18654  0.0  0.5  12264  5252 ?        Ss   13:44   0:00 sshd: pi [priv]     
pi       18661  0.2  0.5  13536  4944 ?        S    13:44   0:04 sshd: pi@pts/2      
pi       18663  0.0  0.4   6560  4708 pts/2    Ss   13:44   0:01 -bash
root     18703  0.0  0.0      0     0 ?        S    13:45   0:00 [kworker/1:0]
root     18774  0.1  0.0      0     0 ?        S    14:01   0:01 [kworker/u8:4]
root     18861  0.0  0.0      0     0 ?        S    14:06   0:00 [kworker/u8:1]
root     18863  0.0  0.0      0     0 ?        S    14:08   0:00 [kworker/0:0]
pi       18864  0.0  0.2   4608  2724 pts/1    S+   14:08   0:00 man ps
root     18866  0.0  0.0      0     0 ?        S    14:08   0:00 [kworker/3:1]
root     18867  0.0  0.0      0     0 ?        S    14:08   0:00 [kworker/2:0]
pi       18877  0.0  0.1   3744  1828 pts/1    S+   14:08   0:00 pager -s
root     18927  0.0  0.0      0     0 ?        S    14:15   0:00 [kworker/0:1]
root     18928  0.0  0.0      0     0 ?        S    14:15   0:00 [kworker/3:0]
root     18979  0.0  0.0      0     0 ?        S    14:17   0:00 [kworker/u8:0]
pi       19005  0.0  0.2   4740  2168 pts/2    R+   14:19   0:00 ps augx
pi       19006  0.0  0.1   3400  1516 pts/2    S+   14:19   0:00 tee save.csv
pi       19007  0.0  0.1   4340  1344 pts/2    S+   14:19   0:00 sed 1d
pi       19008  0.0  0.0   2400   488 pts/2    S+   14:19   0:00 awk {print $5}
pi       19009  0.0  0.2   6104  2772 pts/2    S+   14:19   0:00 perl -ne chomp;s/$/+/;print;
pi       19010  0.0  0.1   4364  1336 pts/2    S+   14:19   0:00 sed -e s/$/0\n/
pi       19011  0.0  0.0   2316   540 pts/2    S+   14:19   0:00 bc -l
